Work Item Type,Title,Description,State,Priority,Tags,Story Points,Acceptance Criteria,Assigned To,Area Path,Iteration Path
Epic,Inventory Management,"Gestión completa de catálogo de productos, control de stock por SKU, alertas de nivel mínimo y sincronización cloud-local bidireccional.",Active,2,Inventory,,,Francisco D. Castro,TuColmadoRD,TuColmadoRD
Epic,Sales & WorkShift,"Registro de ventas online y offline, gestión de turnos de caja, métodos de pago, cuadre de turno y reportes.",Active,1,Sales,,,Francisco D. Castro,TuColmadoRD,TuColmadoRD
Epic,Tenant Management,"Administración multi-tenant de sucursales, usuarios, roles y permisos con panel administrativo web.",Active,2,Tenant,,,Francisco D. Castro,TuColmadoRD,TuColmadoRD
Epic,Offline Security,"Sistema criptográfico de licencias RS256, validación local anti-tampering, detección de clock-tamper y gestión del ciclo de vida de suscripciones offline.",Active,1,Security,,,Francisco D. Castro,TuColmadoRD,TuColmadoRD
User Story,US-01 - Registro de venta offline,"Como cajero, quiero registrar una venta offline para no detener operaciones sin internet.",Active,1,Sales;Sprint3,8,"La venta se almacena en SQLite local. Se sincroniza automáticamente al reconectar. El sistema opera sin internet por 72 horas.",Francisco D. Castro,TuColmadoRD,TuColmadoRD\Sprint 3
User Story,US-02 - Inventario en tiempo real,"Como propietario, quiero ver el inventario en tiempo real para tomar decisiones de compra.",Active,2,Inventory;Sprint4,5,"El panel muestra stock actualizado. Se muestran alertas de niveles mínimos configurados.",Francisco D. Castro,TuColmadoRD,TuColmadoRD\Sprint 4
User Story,US-03 - Apertura de turno de caja,"Como cajero, quiero abrir un turno de caja con monto inicial para controlar el efectivo.",Active,1,Sales;Sprint3,5,"El sistema registra la apertura con timestamp y monto declarado. El turno queda en estado abierto.",Francisco D. Castro,TuColmadoRD,TuColmadoRD\Sprint 3
User Story,US-04 - Reporte de ventas diarias,"Como propietario, quiero generar reportes de ventas diarias para cuadrar el turno.",Active,2,Sales;Sprint5,8,"El reporte se genera con totales por método de pago. Se puede exportar en PDF.",Francisco D. Castro,TuColmadoRD,TuColmadoRD\Sprint 5
User Story,US-05 - Gestión de sucursales,"Como administrador, quiero crear sucursales independientes para gestionar múltiples colmados.",Active,2,Tenant;Sprint4,13,"Cada sucursal tiene datos completamente aislados bajo su tenant ID único.",Francisco D. Castro,TuColmadoRD,TuColmadoRD\Sprint 4
User Story,US-06 - Validación de licencia offline,"Como cajero, quiero que la licencia se valide localmente para operar sin internet.",Active,1,Security;Sprint3,13,"El token RS256 se verifica localmente sin ninguna llamada a internet ni al servidor.",Francisco D. Castro,TuColmadoRD,TuColmadoRD\Sprint 3
User Story,US-07 - Alertas de stock bajo,"Como propietario, quiero recibir alertas de stock bajo para reabastecer a tiempo.",Active,3,Inventory;Sprint4,3,"Notificación automática cuando un producto baja del nivel mínimo configurado.",Francisco D. Castro,TuColmadoRD,TuColmadoRD\Sprint 4
User Story,US-08 - Gestión de usuarios y roles,"Como administrador, quiero gestionar usuarios y roles por sucursal para controlar accesos.",Active,2,Tenant;Sprint4,8,"Los permisos se aplican por rol y se aíslan completamente por tenant.",Francisco D. Castro,TuColmadoRD,TuColmadoRD\Sprint 4
User Story,US-09 - Descuentos en productos,"Como cajero, quiero aplicar descuentos en productos para fidelizar clientes.",Active,3,Sales;Sprint5,5,"El descuento se aplica en la línea de venta y se registra en el log de auditoría.",Francisco D. Castro,TuColmadoRD,TuColmadoRD\Sprint 5
User Story,US-10 - Sincronización automática,"Como propietario, quiero que los datos se sincronicen automáticamente al restablecer internet.",Active,1,Sales;Sprint5,13,"El patrón Outbox garantiza entrega exactly-once al backend cloud sin duplicados.",Francisco D. Castro,TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-01 - Login con credenciales válidas retorna JWT,"Verificar que el LoginUseCase emite un token JWT con claims correctos al autenticar un usuario válido. Steps: 1. Preparar usuario activo en repositorio con email y hash de contraseña. 2. Ejecutar LoginUseCase.execute() con email y password correctos. Expected: accessToken no nulo, claims incluyen sub/tenant_id/role/email.",Active,1,Auth;RF-03;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-02 - Login con contraseña inválida lanza error,"Verificar que el LoginUseCase lanza INVALID_CREDENTIALS cuando la contraseña no coincide con el hash. Steps: 1. Preparar usuario en repositorio. 2. Ejecutar execute() con contraseña incorrecta. Expected: Error con código INVALID_CREDENTIALS.",Active,1,Auth;RF-03;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-03 - Login con email desconocido lanza error,"Verificar que el LoginUseCase lanza INVALID_CREDENTIALS cuando el email no existe. Steps: 1. Repositorio no encuentra usuario. 2. Ejecutar execute() con email inexistente. Expected: Error INVALID_CREDENTIALS.",Active,1,Auth;RF-03;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-04 - Login con tenantId específico busca en scope correcto,"Verificar que cuando se pasa tenantId el sistema valida el tenant y busca el usuario en ese tenant. Steps: 1. Preparar tenant y usuario en repositorio. 2. Ejecutar execute() con tenantId explícito. Expected: Búsqueda usa findByEmailAndTenant.",Active,2,Auth;RF-03;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-05 - Register crea usuario tenant y retorna JWT,"Verificar que RegisterUseCase crea tenant, usuario y emite JWT al registrar un nuevo propietario. Steps: 1. Ejecutar RegisterUseCase.execute() con datos válidos. 2. Verificar llamadas a tenantRepo.create y userRepo.create. Expected: accessToken válido con role=owner.",Active,1,Auth;RF-03;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-06 - Register revierte si NetAPI falla,"Verificar que RegisterUseCase elimina usuario y tenant si la notificación al API .NET falla. Steps: 1. NetApiService.notifyNewTenant lanza error. 2. Ejecutar execute(). Expected: tenantRepo.delete y userRepo.delete son llamados. Error NET_API_ERROR.",Active,1,Auth;RF-03;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-07 - PairDevice con credenciales válidas retorna terminalId y publicKey,"Verificar que PairDeviceUseCase autentica usuario y genera terminalId UUID y clave pública de licencia. Steps: 1. Preparar usuario con contraseña hash válida. 2. Ejecutar execute() con email y password. Expected: terminalId es UUID válido, publicLicenseKey contiene prefijo LIC-.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-08 - PairDevice con contraseña inválida lanza error,"Verificar que PairDeviceUseCase lanza INVALID_CREDENTIALS con contraseña incorrecta. Steps: 1. Bcrypt.compare retorna false. 2. Ejecutar execute(). Expected: Error INVALID_CREDENTIALS. Ningún terminalId generado.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-09 - RenewLicense genera token RS256 válido para tenant activo,"Verificar que RenewLicenseUseCase genera licenseToken firmado con RS256 para tenant activo. Steps: 1. Tenant activo en repositorio. 2. Ejecutar execute() con tenantId y terminalId. Expected: licenseToken no nulo, validUntil en el futuro.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-10 - RenewLicense rechaza tenant inactivo,"Verificar que RenewLicenseUseCase lanza RENEWAL_REJECTED cuando el tenant está inactivo. Steps: 1. Tenant con isActive=false. 2. Ejecutar execute(). Expected: Error RENEWAL_REJECTED.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-11 - VerifyAsync token válido retorna estado válido,"Verificar que LicenseVerifierService.VerifyAsync retorna éxito cuando el token RS256 es válido y no expirado. Steps: 1. Generar token RS256 válido con TestJwtFactory. 2. Ejecutar VerifyAsync. Expected: Result exitoso con status=Valid.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
